term,weight
langeweile,7.094
geilo,7.0535
best,6.7828
love,6.376
exzellent,6.3534
bestens,6.3518
perfekt,6.2062
top,6.1834
suchtfaktor,6.0942
nice,6.0013
suchtgefahr,5.9
geile,5.8884
prima,5.7573
addet,5.7304
supi,5.7079
super,5.7032
heiße,5.5991
manchmal,5.5886
geil,5.5372
abzug,5.5067
coole,5.4667
liebe,5.41
abwechslungsreich,5.409
genial,5.364
good,5.3245
aufhören,5.2967
geiler,5.269
meckern,5.1879
cool,5.0933
klasse,5.0877
cooooool,5.0783
coll,5.0425
vertreib,5.0296
adden,5.0274
suppi,4.8348
fun,4.7873
geiles,4.7457
hammer,4.6722
klassiker,4.6646
name,4.6523
spaßig,4.6424
zeitvertreib,4.6068
coooooooooool,4.6031
td,4.5921
coooooooooooool,4.5913
auszusetzen,4.5364
gute,4.5204
spitze,4.4977
hervorragend,4.4817
beste,4.4485
coooooooool,4.4446
leicht,4.4382
like,4.4324
supa,4.419
schöne,4.3852
fantastisch,4.3739
great,4.3492
jut,4.3285
gut,4.3181
süß,4.3171
lob,4.2923
unterhaltsam,4.29
zwischendurch,4.2781
dankeschön,4.2614
funny,4.2447
schick,4.2319
spiel,4.2019
wow,4.2002
familie,4.1992
passt,4.1819
exellent,4.1748
müsst,4.1735
perfect,4.1331
sexy,4.119
geilste,4.1086
coooooooooooooool,4.0886
ausversehen,4.0813
vertreiben,4.0777
suchtpotential,4.0674
geiol,4.0239
topp,4.0163
suche,4.0106
yeah,4.0023
suuuuper,3.9947
besucher,3.9766
geill,3.9749
geiiles,3.9729
farmspiel,3.9507
laune,3.9456
vertreibt,3.9439
cooooooooool,3.9098
guter,3.9084
cheat,3.9018
suchtpotenzial,3.8986
einziger,3.8879
kurzweilig,3.883
geilomatiko,3.8811
klein,3.8759
gesessen,3.8669
kfasti,3.8594
